"old_county","old_province_state","old_counrty_region","County","Province_State","Country_Region","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","old_combined_key","combined_key","UID","In_DBT_Exceptions"
"Unknown","Virginia","US","Unassigned","Virginia","US","","","","","","","90051","Unknown, Virginia, US","Unassigned, Virginia, US","0084090051",
"unassigned","Wyoming","US","Unassigned","Wyoming","US","","","","","","","90056","unassigned, Wyoming, US","Unassigned, Wyoming, US","0084090056",
"","","Palestine","","","West Bank and Gaza","31.9522","35.2332","","","","","","Palestine","West Bank and Gaza","0000000275",
"","","Western Sahara","","","Western Sahara","24.2155","-12.8858","","","","","","Western Sahara","Western Sahara","0000000732",
"Wayne--Non Detroit","Michigan","US","Wayne","Michigan","US","42.28098405","-83.281255","","","","","26163","Wayne--Non Detroit, Michigan, US","Wayne, Michigan, US","0084026163",
"Residents Diagnosed Outside of HI","Hawaii","US","Out of HI","Hawaii","US","","","","","","","80015","Residents Diagnosed Outside of HI, Hawaii, US","Out of HI, Hawaii, US","0084080015",
"New York City","New York","US","New York City","New York","US","40.7672726","-73.97152637","","15074","","","36061","New York City, New York, US","New York City, New York, US","0084036061",
"Mcclain","Oklahoma","US","McClain","Oklahoma","US","35.01123903","-97.44572302","","","","","40087","Mcclain, Oklahoma, US","McClain, Oklahoma, US","0084040087",
"Mccurtain","Oklahoma","US","McCurtain","Oklahoma","US","34.11664328","-94.77222373","","","","","40089","Mccurtain, Oklahoma, US","McCurtain, Oklahoma, US","0084040089",
"Mcintosh","Oklahoma","US","McIntosh","Oklahoma","US","35.37235506","-95.66599306","","","","","40091","Mcintosh, Oklahoma, US","McIntosh, Oklahoma, US","0084040091",
"Countytba","New Hampshire","US","Unassigned","New Hampshire","US","","","","","","","90033","Countytba, New Hampshire, US","Unassigned, New Hampshire, US","0084090033",
