"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Ashtabula, OH, USA","03-22-2020.csv","Ashtabula, OH, USA","03-22-2020","2","03-22-2020.csv","Ashtabula, OH, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Ashtabula, OH, USA","03-22-2020","2"
"Asotin, WA, USA",,,,,,,,,,,,,,,,,,,,
"Assumption, LA, USA","03-22-2020.csv","Assumption, LA, USA","03-22-2020","1","03-22-2020.csv","Assumption, LA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Assumption, LA, USA","03-22-2020","1"
"Atascosa, TX, USA","03-22-2020.csv","Atascosa, TX, USA","03-22-2020","2","03-22-2020.csv","Atascosa, TX, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Atascosa, TX, USA","03-22-2020","2"
"Atchison, KS, USA","03-30-2020.csv","Atchison, KS, USA","03-30-2020","1","03-30-2020.csv","Atchison, KS, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Atchison, KS, USA","03-30-2020","1"
"Atchison, MO, USA","03-26-2020.csv","Atchison, MO, USA","03-26-2020","1","03-26-2020.csv","Atchison, MO, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Atchison, MO, USA","03-26-2020","1"
"Athens, OH, USA","03-26-2020.csv","Athens, OH, USA","03-26-2020","1","03-26-2020.csv","Athens, OH, USA","03-26-2020","1","03-30-2020.csv","Athens, OH, USA","03-30-2020","1",,,,,"03-26-2020.csv","Athens, OH, USA","03-26-2020","1"
"Atkinson, GA, USA",,,,,,,,,,,,,,,,,,,,
"Atlantic, NJ, USA","03-22-2020.csv","Atlantic, NJ, USA","03-22-2020","5","03-22-2020.csv","Atlantic, NJ, USA","03-22-2020","5","04-02-2020.csv","Atlantic, NJ, USA","04-02-2020","1",,,,,"03-22-2020.csv","Atlantic, NJ, USA","03-22-2020","5"
"Atoka, OK, USA","04-02-2020.csv","Atoka, OK, USA","04-02-2020","1","04-02-2020.csv","Atoka, OK, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Atoka, OK, USA","04-02-2020","1"
"Attala, MS, USA","03-22-2020.csv","Attala, MS, USA","03-22-2020","1","03-22-2020.csv","Attala, MS, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Attala, MS, USA","03-22-2020","1"
"Audrain, MO, USA",,,,,,,,,,,,,,,,,,,,
"Audubon, IA, USA","03-30-2020.csv","Audubon, IA, USA","03-30-2020","1","03-30-2020.csv","Audubon, IA, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Audubon, IA, USA","03-30-2020","1"
"Auglaize, OH, USA","03-28-2020.csv","Auglaize, OH, USA","03-28-2020","1","03-28-2020.csv","Auglaize, OH, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Auglaize, OH, USA","03-28-2020","1"
"Augusta, VA, USA","04-01-2020.csv","Augusta, VA, USA","04-01-2020","1","04-01-2020.csv","Augusta, VA, USA","04-01-2020","1",,,,,,,,,"04-01-2020.csv","Augusta, VA, USA","04-01-2020","1"
